"date","close","volume","open","high","low"
"16:00","150.48","16,999,575","151.49","152.59","150.21"
"2017/05/09","150.4800","17381800.0000","151.4900","152.5900","150.2100"
"2017/05/08","151.0600","15813350.0000","150.7100","151.0800","149.7400"
"2017/05/05","150.2400","17104730.0000","151.4500","151.6300","149.7900"
"2017/05/04","150.8500","36185180.0000","150.1700","151.5200","148.7200"
"2017/05/03","151.8000","28301550.0000","153.6000","153.6000","151.3400"
"2017/05/02","152.7800","21617190.0000","153.3400","153.4400","151.6600"
"2017/05/01","152.4600","25170200.0000","151.7400","152.5700","151.4200"
"2017/04/28","150.2500","30607510.0000","149.5000","151.5300","149.0700"
"2017/04/27","147.7000","11072600.0000","146.6700","147.7500","146.1400"
"2017/04/26","146.5600","12388100.0000","147.0900","147.5900","146.0900"
"2017/04/25","146.4900","17718030.0000","145.7900","147.1500","145.7898"
"2017/04/24","145.4700","14397480.0000","144.9600","145.6738","144.3400"
"2017/04/21","143.6800","12172640.0000","143.9000","144.1700","142.2700"
"2017/04/20","143.8000","15948700.0000","142.9500","144.2500","142.6890"
"2017/04/19","142.2700","15544500.0000","141.3500","143.0400","141.2700"
"2017/04/18","140.9600","14795020.0000","141.2700","141.9050","140.6100"
"2017/04/17","141.4200","11488510.0000","139.7600","141.5500","139.7500"
"2017/04/13","139.3900","10939950.0000","139.6200","140.5800","139.3300"
"2017/04/12","139.5800","11600930.0000","139.7200","140.4000","139.4400"
"2017/04/11","139.9200","16627940.0000","140.8000","141.0299","138.8100"
"2017/04/10","141.0400","9033921.0000","141.0000","141.4300","140.6300"
"2017/04/07","140.7800","11811450.0000","141.2000","141.5500","140.2400"
"2017/04/06","141.1700","15089610.0000","142.1100","142.2200","140.9100"
"2017/04/05","141.8500","17132150.0000","142.2600","143.4400","141.2900"
"2017/04/04","141.7300","11934110.0000","141.8600","142.0900","141.2700"
"2017/04/03","142.2800","13552550.0000","141.9300","142.4700","140.8200"
"2017/03/31","142.0500","11366390.0000","142.3100","142.6300","141.8900"
"2017/03/30","142.4100","12393610.0000","142.4000","142.9500","141.8500"
"2017/03/29","142.6500","16504590.0000","141.9900","142.8600","141.4300"
"2017/03/28","141.7600","14660670.0000","140.3600","141.9500","140.0100"
"2017/03/27","140.3200","12791820.0000","139.0500","140.6500","138.7700"
"2017/03/24","140.3400","16636900.0000","140.0800","141.0244","139.7600"
"2017/03/23","139.5300","12992700.0000","139.4800","140.3900","139.0900"
"2017/03/22","139.5900","17020610.0000","137.9300","139.7900","137.6000"
"2017/03/21","138.5100","29855980.0000","141.1500","142.3082","138.4000"
"2017/03/20","139.9400","12002150.0000","139.7100","140.1900","139.2500"
"2017/03/17","139.8400","20487730.0000","140.3400","140.3400","139.7000"
"2017/03/16","139.9900","13604260.0000","140.2000","140.2500","139.7300"
"2017/03/15","139.7200","19315340.0000","139.2900","140.1000","138.4900"
"2017/03/14","139.3200","12935370.0000","139.4600","139.4600","138.5200"
"2017/03/13","139.6000","10949000.0000","138.7100","139.6800","138.6729"
"2017/03/10","138.7900","16299220.0000","138.9100","139.4900","138.2200"
"2017/03/09","138.2400","15523900.0000","137.7200","138.5700","137.4000"
"2017/03/08","137.7200","10174840.0000","137.1500","137.9900","137.0516"
"2017/03/07","137.3000","13517880.0000","137.0300","138.3700","136.9900"
"2017/03/06","137.4200","12562040.0000","136.8800","137.8300","136.5100"
"2017/03/03","137.1700","11154380.0000","136.6300","137.3300","136.0800"
"2017/03/02","136.7600","12278560.0000","137.0900","137.8200","136.3100"
"2017/03/01","137.4200","16241330.0000","136.4700","137.4800","136.3000"
"2017/02/28","135.5400","16096310.0000","136.7900","136.8050","134.7500"
"2017/02/27","136.4100","14300970.0000","135.2600","137.1846","135.0200"
"2017/02/24","135.4400","12617180.0000","134.1600","135.6200","134.1600"
"2017/02/23","135.3600","18408460.0000","135.8900","136.1200","134.3300"
"2017/02/22","136.1200","27331930.0000","133.6000","136.7900","133.4600"
"2017/02/21","133.7200","14735860.0000","133.5000","133.9100","132.9000"
"2017/02/17","133.5300","12265480.0000","133.5000","134.0912","133.1700"
"2017/02/16","133.8400","12816260.0000","133.0700","133.8700","133.0220"
"2017/02/15","133.4400","13215470.0000","133.4500","133.7000","132.6600"
"2017/02/14","133.8500","14346090.0000","134.1000","134.2300","132.5500"
"2017/02/13","134.0500","13511640.0000","134.6975","134.6975","133.7000"
"2017/02/10","134.1900","15050270.0000","134.1000","134.9400","133.6800"
"2017/02/09","134.1400","16454060.0000","134.4900","134.5000","133.3100"
